Municipality,Type,County,Population,Area,Incorporated
Portland,City,Cumberland (seat),"68,408",21.6,1786
Lewiston,City,Androscoggin,"37,121",34.2,1795
Bangor,City,Penobscot (seat),"31,753",34.3,1834
South Portland,City,Cumberland,"26,498",12.1,1895
Auburn,City,Androscoggin (seat),"24,061",59.3,1842
Biddeford,City,York,"22,552",30.1,1653
Scarborough,Town,Cumberland,"21,982",47.6,1658
Sanford,City,York,"21,982",47.8,1768
Brunswick,Town,Cumberland,"21,756",46.7,1739
Westbrook,City,Cumberland,"20,400",17.2,1814
Saco,City,York,"20,381",38.6,1775
Augusta,City (capital),Kennebec (seat),"18,899",55.2,1797
Windham,Town,Cumberland,"18,434",46.6,1762
Gorham,Town,Cumberland,"18,336",50.6,1764
Waterville,City,Kennebec,"15,828",13.5,1802
York,Town,York,"13,723",54.7,1652
Falmouth,Town,Cumberland,"12,444",29.4,1718
Kennebunk,Town,York,"11,536",35.1,1820
Wells,Town,York,"11,314",57.6,1653
Orono,Town,Penobscot,"11,183",18.2,1806
Standish,Town,Cumberland,"10,244",59.0,1785
Kittery,Town,York,"10,070",17.8,1647
Lisbon,Town,Androscoggin,"9,711",22.8,1799
Brewer,City,Penobscot,"9,672",15.2,1812
Topsham,Town,Sagadahoc,"9,560",32.2,1764
Cape Elizabeth,Town,Cumberland,"9,535",14.7,1765
Yarmouth,Town,Cumberland,"8,990",13.3,1849
Old Orchard Beach,Town,York,"8,960",7.4,1883
Presque Isle,City,Aroostook,"8,797",75.8,1859
Bath,City,Sagadahoc (seat),"8,766",9.1,1781
Freeport,Town,Cumberland,"8,737",34.7,1789
Skowhegan,Town,Somerset (seat),"8,620",58.9,1823
Cumberland,Town,Cumberland,"8,473",22.9,1821
Ellsworth,City,Hancock (seat),"8,399",79.3,1800
Buxton,Town,York,"8,376",52.2,1762
Gray,Town,Cumberland,"8,269",43.3,1788
Berwick,Town,York,"7,950",37.5,1713
Winslow,Town,Kennebec,"7,948",36.8,1771
Waterboro,Town,York,"7,936",55.3,1787
Hampden,Town,Penobscot,"7,709",37.9,1794
Farmington,Town,Franklin (seat),"7,592",55.7,1794
South Berwick,Town,York,"7,467",32.1,1814
Old Town,City,Penobscot,"7,431",38.8,1840
Caribou,City,Aroostook,"7,396",79.3,1859
Belfast,City,Waldo (seat),"6,938",12.8,1773
Rockland,City,Knox (seat),"6,936",34.0,1848
Eliot,Town,York,"6,717",19.8,1810
Fairfield,Town,Somerset,"6,484",53.8,1788
Lebanon,Town,York,"6,469",55.0,1767
Hermon,Town,Penobscot,"6,461",35.9,1814
Oakland,Town,Kennebec,"6,230",25.7,1873
Winthrop,Town,Kennebec,"6,121",31.2,1771
Houlton,Town,Aroostook (seat),"6,055",36.7,1831
Gardiner,City,Kennebec,"5,961",15.7,1803
Poland,Town,Androscoggin,"5,906",42.2,1795
Rumford,Town,Oxford,"5,858",68.6,1800
Turner,Town,Androscoggin,"5,817",59.3,1786
New Gloucester,Town,Cumberland,"5,676",47.1,1774
Bridgton,Town,Cumberland,"5,418",56.8,1794
Camden,Town,Knox,"5,232",18.2,1791
Paris,Town,Oxford (seat),"5,179",40.8,1793
Waldoboro,Town,Lincoln,"5,154",71.5,1773
Bar Harbor,Town,Hancock,"5,098",42.2,1796
Norway,Town,Oxford,"5,077",45.0,1797
Sabattus,Town,Androscoggin,"5,044",25.7,1840
Harpswell,Town,Cumberland,"5,031",24.2,1775
North Berwick,Town,York,"4,978",38.0,1831
Bucksport,Town,Hancock,"4,944",51.5,1792
Warren,Town,Knox,"4,865",46.5,1776
Lincoln,Town,Penobscot,"4,853",67.8,1829
Hollis,Town,York,"4,745",32.0,1798
Madison,Town,Somerset,"4,726",51.9,1804
Glenburn,Town,Penobscot,"4,648",27.2,1822
Sidney,Town,Kennebec,"4,645",42.3,1792
Jay,Town,Franklin,"4,620",48.4,1795
Raymond,Town,Cumberland,"4,536",33.2,1803
Lyman,Town,York,"4,525",39.0,1778
Vassalboro,Town,Kennebec,"4,520",44.3,1771
Dover-Foxcroft,Town,Piscataquis (seat),"4,422",67.8,1822
China,Town,Kennebec,"4,408",49.9,1818
Greene,Town,Androscoggin,"4,376",32.3,1788
Arundel,Town,York,"4,264",23.9,1915
Oxford,Town,Oxford,"4,229",38.7,1829
Durham,Town,Androscoggin,"4,173",38.3,1789
Millinocket,Town,Penobscot,"4,114",16.0,1901
North Yarmouth,Town,Cumberland,"4,072",21.2,1680
Fort Kent,Town,Aroostook,"4,067",54.2,1869
Monmouth,Town,Kennebec,"4,066",34.0,1792
Naples,Town,Cumberland,"3,925",31.8,1834
Pittsfield,Town,Somerset,"3,908",48.2,1819
Limington,Town,York,"3,892",41.9,1792
Madawaska,Town,Aroostook,"3,867",55.6,1831
Wilton,Town,Franklin,"3,835",41.3,1803
Winterport,Town,Waldo,"3,817",35.5,1860
Orrington,Town,Penobscot,"3,812",25.0,1788
Dexter,Town,Penobscot,"3,803",35.1,1816
Wiscasset,Town,Lincoln (seat),"3,742",24.6,1760
West Gardiner,Town,Kennebec,"3,671",24.6,1850
Casco,Town,Cumberland,"3,646",31.2,1841
Rockport,Town,Knox,"3,644",21.6,1891
Kennebunkport,Town,York,"3,629",18.6,1653
Litchfield,Town,Kennebec,"3,586",37.4,1795
Richmond,Town,Sagadahoc,"3,522",30.4,1823
Clinton,Town,Kennebec,"3,370",43.9,1795
Fryeburg,Town,Oxford,"3,369",58.3,1777
