CompanyName,JobsInTotal,City,State
Zynex Medical Inc,1,Albany,ME
Zynex Medical,2,Portland,ME
Zynex Medical,1,Augusta,ME
Zurich NA,24,Augusta,ME
Zurich NA,1,"Augusta, ME",ME
Zumiez Inc.,1,Bangor,ME
Zumiez Inc.,1,SOUTH PORTLAND,ME
Zumiez Inc.,1,South Portland,ME
Zumiez,9,South Portland,ME
Zumiez,8,Bangor,ME
Zumiez,2,Kittery,ME
Ztek Consulting INC,2,Maine,ME
Zoulamis Fine Woodworking,1,Randolph,ME
Zootility Co.,1,Portland,ME
Zoom Drain   New England,3,Scarborough,ME
Zoom Drain   New England,2,West Scarborough,ME
ZOOM DRAIN,1,Scarborough,ME
Zoom Corporation,3,Augusta,ME
Zoom,2,Augusta,ME
Zone & Company Software Consulting,1,Bangor,ME
ZOLL Medical Corporation,4,Portland,ME
ZOLL LifeVest,9,Portland,ME
ZOLL LifeVest,5,Lewiston,ME
ZOLL LifeVest,4,Bangor,ME
ZOLL LifeVest,1,"Bangor, ME",ME
ZMC-US RESP Respicardia,1,Portland,ME
Zimba Company,4,Fairfield,ME
Zimba Company,1,Plymouth,ME
Zimba Company,1,Saint Albans,ME
Zildjian,2,Newport,ME
Zettabytenxt,4,Lewiston,ME
Zero Gravity Extracts,1,Saco,ME
Zerion Software,1,Portland,ME
"Zerillo Law Firm, LLC",1,Portland,ME
ZeptoLab,1,Belgrade,ME
Zen Educate,1,Bangor,ME
"Zeiders Enterprises, Inc",3,Kittery,ME
"Zeiders Enterprises, Inc",1,Augusta,ME
Zeiders Enterprises,3,Augusta,ME
Zebra Technologies,1,Augusta,ME
Zaxby's,7,Augusta,ME
Zaxby's,2,Thomaston,ME
Zao Ze Cafe and Market,2,Brunswick,ME
Zaktos,2,Manchester,ME
Zaktos,2,Portland,ME
Zaktos,1,Westbrook,ME
"Zajac, LLC",3,Saco,ME
Zack Group,4,Lewiston,ME
Zack Group,1,Bangor,ME
Z Transportation Inc,3,Portland,ME
YWCA Central Maine,9,Lewiston,ME
Yvon's Car Wash,1,Lewiston,ME
YULIVAN CARRIERS INC,1,Portland,ME
Yubico,11,Stockholm,ME
Yubico,2,"Stockholm, ME",ME
YRC Freight,18,Augusta,ME
YRC Freight,3,Westbrook,ME
YRC Freight,1,Fairfield,ME
YR Media,1,Portland,ME
Youth-LED Justice,1,Cumberland Center,ME
